 0.0, 0.0, 1281
-5.5848, -2.2382, 345.345067, 2322
-5.5940, -2.2382, 345.345067, 2324
-5.5543, -2.2382, 345.345067, 2324
-5.5452, -3.3077, 345.344887, 2331
-5.5360, -3.3077, 345.344887, 2324
-5.5208, -3.3077, 345.344887, 2324
-5.5055, -3.3077, 345.344887, 2322
-5.5025, -3.3077, 345.344887, 2324
-4.4935, -3.3077, 345.344887, 2324
-4.4843, -3.3077, 345.344887, 2324
-4.4782, -3.3077, 345.344887, 2323
-4.4630, -3.3077, 345.344887, 2333
-4.4569, -3.3077, 345.344887, 2324
-4.4447, -3.3077, 345.344887, 2323
-4.4294, -3.3077, 345.344887, 2323
-4.4294, -3.3077, 345.344887, 2324
-4.4172, -3.3077, 345.344887, 2324
-4.4111, -3.3077, 345.344887, 2323
-3.3929, -3.3077, 345.344887, 2323
-3.3716, -3.3077, 345.344887, 2330
-3.3747, -3.3077, 345.344887, 2324
-3.3625, -3.3077, 345.344887, 2324
-3.3442, -3.3077, 345.344887, 2324
-3.3503, -3.3077, 345.344887, 2323
-3.3411, -3.3077, 345.344887, 2324
-3.3350, -3.3077, 345.344887, 2324
-3.3442, -3.3077, 345.344887, 2324
-3.3289, -3.3077, 345.344887, 2329
-3.3350, -3.3077, 345.344887, 2324
-3.3411, -3.3077, 345.344887, 2322
-3.3442, -3.3077, 345.344887, 2324
-3.3594, -3.3077, 345.344887, 2324
-3.3503, -3.3077, 345.344887, 2324
-3.3594, -3.3077, 345.344887, 2322
-3.3655, -3.3077, 345.344887, 2324
-3.3686, -3.3077, 345.344887, 2329
-3.3777, -3.3077, 345.344887, 2322
-3.3960, -3.3077, 345.344887, 2324
-4.4050, -3.3077, 345.344887, 2324
-4.4081, -3.3077, 345.344887, 2324
-4.4233, -3.3077, 345.344887, 2322
-4.4416, -3.3077, 345.344887, 2324
-4.4508, -3.3077, 345.344887, 2324
-4.4599, -3.3077, 345.344887, 2332
-4.4691, -3.3077, 345.344887, 2323
-4.4904, -3.3077, 345.344707, 2323
-5.4995, -3.3077, 345.344707, 2324
-5.5086, -3.3077, 345.344707, 2323
-5.5086, -3.3077, 345.344707, 2324
-5.5177, -3.3077, 345.344707, 2322
-5.5208, -3.3077, 345.344707, 2324
-5.5238, -3.3077, 345.344707, 2332
-5.5238, -3.3077, 345.344707, 2322
-5.5391, -3.3077, 345.344707, 2324
-5.5238, -3.3077, 345.344707, 2324
-5.5330, -3.3077, 345.344707, 2324
-5.5330, -3.3077, 345.344707, 2322
-5.5330, -3.3077, 345.344707, 2324
-5.5208, -3.3077, 345.344707, 2324
-5.5025, -3.3077, 345.344707, 2329
-5.5025, -3.3077, 345.344707, 2324
